Марка,Количество перевозок по марке,"Список маршрутов, по которым перевозилась марка"
Jetour,1,Владивосток - Москва
KG Mobility,1,Владивосток - Москва
Kia,95,Абакан - Красноярск; Владивосток - Владивосток; Владивосток - Казань; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Нижний Новгород; Владивосток - Новосибирск; Владивосток - Тюмень; Владикавказ - Тольятти; Владимир - Иркутск; Красноярск - Екатеринбург; Минеральные Воды - Москва; Москва - Волгоград; Москва - Воронеж; Москва - Иркутск; Москва - Краснодар; Москва - Москва; Москва - Набережные Челны; Москва - Невинномысск; Москва - Новосибирск; Москва - Омск; Москва - Оренбург; Москва - Пермь; Москва - Ростов-на-Дону; Москва - Санкт-Петербург; Москва - Тюмень; Москва - Улан-Удэ; Москва - Уфа; Невинномысск - Москва; Новосибирск - Москва; Омск - Москва; Санкт-Петербург - Москва; Санкт-Петербург - Пятигорск; Тольятти - Омск; Тюмень - Москва; Челябинск - Москва
Land Rover,16,Екатеринбург - Москва; Москва - Иркутск; Москва - Краснодар; Москва - Курган; Москва - Москва; Москва - Мурманск; Москва - Пермь; Москва - Санкт-Петербург; Оренбург - Москва; Санкт-Петербург - Москва; Санкт-Петербург - Санкт-Петербург
Lexus,32,Владивосток - Москва; Владивосток - Омск; Иркутск - Волгоград; Краснодар - Краснодар; Краснодар - Москва; Красноярск - Екатеринбург; Махачкала - Москва; Махачкала - Сургут; Москва - Благовещенск; Москва - Большой Невер; Москва - Владивосток; Москва - Иркутск; Москва - Москва; Москва - Пермь; Москва - Санкт-Петербург; Москва - Тюмень; Москва - Улан-Удэ; Невинномысск - Тольятти; Новосибирск - Владивосток; Омск - Казань; Самара - Москва; Сургут - Москва; Сургут - Тюмень; Тюмень - Москва; Тюмень - Омск
Li (lixiang ),4,Москва - Екатеринбург; Москва - Свободный; Москва - Сургут; Санкт-Петербург - Москва
Lynk & Co,4,Москва - Санкт-Петербург; Хабаровск - Москва
MAVERICK,2,Казань - Москва; Москва - Санкт-Петербург
MINI,9,Владивосток - Москва; Владивосток - Тольятти; Москва - Санкт-Петербург; Тольятти - Краснодар
Mazda,39,Владивосток - Уфа; Екатеринбург - Красноярск; Екатеринбург - Москва; Иркутск - Москва; Иркутск - Челябинск; Красноярск - Москва; Москва - Кемерово; Москва - Краснодар; Москва - Красноярск; Москва - Москва; Москва - Нижний Новгород; Москва - Омск; Москва - Санкт-Петербург; Москва - Тюмень; Новосибирск - Москва; Омск - Кемерово; Орёл - Москва; Санкт-Петербург - Москва; Санкт-Петербург - Самара; Тольятти - Краснодар; Тюмень - Красноярск; Тюмень - Тольятти; Улан-Удэ - Москва; Улан-Удэ - Санкт-Петербург; Уссурийск - Набережные Челны; Ярославль - Омск
